dynamic ranges 117 bytes 457
0x180b3ce6c 6 46315e550000 6a1bef42f87f 46315e550000
0x180b605ff 3 000000 e76400 3fb403
0x180ba0bb9 5 387c550000 9a94a28102 10d1a9c701
0x180bb299b 4 da560f5d 558fd495 352f8998
0x180bbd9a9 2 5d14 6819 3807
0x180bde717 4 ab370000 b14c8202 6d4ec801
0x180beed02 2 3866 9855 6c74
0x180bfb662 4 421d2769 0cdd01cf d50f3228
0x180c344fd 6 f22c73770000 f0d316a08102 10116ab1c701
0x180c384a2 6 c863bc7c0000 10293aa08102 c06220aac701
0x180c56361 4 fed49f7e 36735900 ffa58959
0x180c7c149 8 1b9b4c5600000000 6b967881a9ab0300 11d639f2c52ebcb6
0x180c7c153 4 b4470000 b14c8202 1a4ec801
0x180c92f92 4 00000000 dc164efb 4d73db86
0x180c96127 5 0000000000 90d0ff2cea 80d5cf275b
0x180c9614d 6 000000000000 97f61599a66e 240088d02f84
0x180c96189 6 000000000000 60c930a08102 806720aac701
0x180c96197 5 0000000000 10d0ff2cea 00d5cf275b
0x180c961cb 6 000000000000 70c930a08102 906720aac701
0x180c96274 1 00 3f 3e
0x180c9f015 8 53d9524200000000 00fb9e108093ac03 b6c0df51f31e2fbc
0x180c9faf1 6 000000000000 60c930a08102 806720aac701
